Calendar Year Filed,Violation State,Number of Filed Cases,Number of Filed Cases with a Race Basis,Number of Filed Cases with an Asian Race Basis,Number of Filed Cases with an Asian and White Race Basis,Number of Filed Cases with a Black or African-American Race Basis,Number of Filed Cases with a Black and White Race Basis,Number of Filed Cases with a Hawaiian or Pacific-Islander Race Basis,Number of Filed Cases with a Native American Race Basis,Number of Filed Cases with a Native American and Black  Race Basis,Number of Filed Cases with a Native American and White Race Basis,Number of Filed Cases with a White Race Basis,Number of Filed Cases with an Other Mult-Racial Race Basis,Number of Filed Cases with a Color Basis,Number of Filed Cases with a National Origin Basis,Number of Filed Cases with an Hispanic National Origin Basis,Number of Filed Cases with a Disability Basis,Number of Filed Cases with a Familial Status Basis,Number of Filed Cases with a Religion Basis,Number of Filed Cases with a Sex Basis,Number of Filed Cases with a Retaliation Basis,Number of Charges,Number of Administrative Closures,Number of Conciliations and Settlements,Number of Withdrawals after Resolution,Number of No Reasonable Cause Determinations,Number of Department of Justice Closures,Number of Post-Cause Closures by State and Local Partner Agencies,Number of Administrative Law Judge Closures,Number of Elections to Federal District Court,Number of Appeals or Supreme Court Closures,Number of Open Cases
2003,Connecticut,102,27,3,,16,4,,2,,,1,1,4,17,11,45,17,3,11,8,,16,24,12,41,,7,,,,
2003,Delaware,35,9,,,8,,,,,,1,,,7,6,10,8,2,1,,,5,9,3,16,,1,,,,
2003,District of Columbia,16,9,,,7,,,,,,1,1,,3,1,5,1,,,,,1,7,,7,,,,,,
2003,Florida,537,185,2,,149,9,,,,3,20,2,10,73,49,243,87,20,66,29,1,65,87,53,296,2,19,,1,,
2003,Georgia,203,108,,,98,5,,,,,5,,7,27,18,70,19,6,45,5,,18,22,24,134,1,3,,,,
2003,Guam,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,
2003,Hawaii,45,12,,,5,,2,,,,4,1,1,4,1,22,4,2,7,8,,6,11,3,21,,3,,,,
2003,Idaho,57,6,,,5,,,,,,1,,,6,5,32,15,3,8,6,2,7,22,8,18,,,1,1,,
2003,Illinois,336,143,1,,131,1,,1,,,9,,13,66,54,97,46,10,36,19,2,76,62,42,109,42,,1,1,,
2003,Indiana,135,62,1,,51,2,,,1,,5,2,3,18,11,46,13,4,23,6,,18,10,23,70,,8,,,,
2003,Iowa,168,91,4,,80,3,1,2,,1,,,3,15,9,58,29,5,12,3,,7,57,12,76,,1,,,,
2003,Kansas,299,160,,,141,5,,,1,1,11,1,3,27,22,97,32,7,23,13,,15,64,59,161,,,,,,
2003,Kentucky,112,42,,,30,5,,,1,,6,,2,11,8,42,20,2,11,4,,5,21,18,58,2,4,,,,
2003,Louisiana,134,92,,,82,1,,1,,,8,,3,,,31,53,2,23,3,,34,43,3,53,,1,,,,
2003,Maine,56,14,,,9,,,5,,,,,4,7,2,26,12,3,4,2,,8,8,4,30,,5,,,,
2003,Maryland,97,58,1,,50,3,,1,,,3,,8,4,2,31,5,1,3,4,,3,,25,65,,2,,,,
2003,Massachusetts,226,61,4,,42,5,,2,1,,3,4,11,22,16,104,38,8,14,7,,11,14,51,137,1,6,,,,
2003,Michigan,199,92,3,1,78,3,,,,1,5,1,2,14,7,75,23,3,22,16,,10,47,24,107,1,9,,,,
2003,Minnesota,86,35,,,30,1,,2,1,1,,,,6,1,37,13,2,19,3,,19,22,4,39,2,,,,,
2003,Mississippi,71,46,,,44,,,,,,2,,3,2,1,24,9,3,13,3,1,8,1,20,41,,,,1,,
2003,Missouri,451,236,1,1,220,8,1,,,,5,,,19,11,145,51,8,56,10,,33,95,104,205,,3,,,,
2003,Montana,38,3,,,,,,3,,,,,,1,1,21,11,1,6,,,2,12,6,18,,,,,,
2003,Nebraska,115,29,1,,16,1,,9,,1,1,,1,13,6,51,25,2,12,4,,3,46,4,52,,5,,,,
2003,Nevada,83,30,,,26,3,,,,,1,,3,4,4,43,8,6,2,1,3,15,23,8,33,1,,3,,,
2003,New Hampshire,20,5,,,1,3,,,,,1,,4,1,,8,9,,1,,,1,11,2,6,,,,,,
2003,New Jersey,141,58,1,,42,2,,,,,13,,2,34,26,65,35,9,38,4,3,14,36,14,73,1,,1,2,,
